longitude	frequency power [Hz]	spectral density [dB/Hz]	doppler
 016	1421401750.0	3.2175599999999998	999999823.1173152
 016	1420077750.0	3.3878199999999996	999068348.4183911
 016	1420129750.0	3.4680400000000002	999104932.0168383
 016	1420029750.0	3.3043199999999997	999034578.9429014
 016	1420137750.0	3.4890800000000004	999110560.2627532
 016	1419897750.0	3.20058	998941712.8853048
 016	1420273750.0	3.72155	999206240.4433074
 016	1420209750.0	3.69225	999161214.4759878
 016	1419417750.0	3.21571	998604018.1304078
 016	1419461750.0	3.15581	998634973.4829401
 016	1419969750.0	3.24056	998992367.0985394
 016	1420161750.0	3.56155	999127445.000498
 016	1420397750.0	3.44846	999293478.254989
 016	1420149750.0	3.4676400000000003	999119002.6316257
 016	1420157750.0	3.5159800000000003	999124630.8775406
 016	1419961750.0	3.24149	998986738.8526244
 016	1420277750.0	3.73999	999209054.5662649
 016	1420141750.0	3.5036199999999997	999113374.3857107
 016	1420145750.0	3.48472	999116188.5086682
 016	1419965750.0	3.21652	998989552.9755819
 016	1420401750.0	3.44248	999296292.3779465
 016	1420041750.0	3.3446599999999997	999043021.3117739
 016	1420045750.0	3.3412300000000004	999045835.4347314
 016	1420049750.0	3.3401300000000003	999048649.5576888
 016	1420053750.0	3.3540099999999997	999051463.6806463
 016	1420057750.0	3.34364	999054277.8036038
 016	1420061750.0	3.367	999057091.9265612
 016	1420065750.0	3.3542	999059906.0495187
 016	1420073750.0	3.39276	999065534.2954336
 016	1420069750.0	3.3726599999999998	999062720.1724762
 016	1420021750.0	3.27312	999028950.6969864
 016	1420025750.0	3.30005	999031764.8199439
 016	1420153750.0	3.37321	999121816.7545831
 016	1419913750.0	3.2172099999999997	998952969.3771347
 016	1419917750.0	3.2109400000000003	998955783.5000921
 016	1419921750.0	3.20677	998958597.6230496
 016	1419925750.0	3.21939	998961411.7460071
 016	1419929750.0	3.21647	998964225.8689646
 016	1419933750.0	3.2153099999999997	998967039.991922
 016	1419937750.0	3.2266	998969854.1148795
 016	1419941750.0	3.21949	998972668.237837
 016	1419945750.0	3.20918	998975482.3607944
 016	1419949750.0	3.21964	998978296.4837519
 016	1419953750.0	3.21726	998981110.6067094
 016	1419957750.0	3.236	998983924.7296668
 016	1420121750.0	3.47632	999099303.7709234
 016	1419909750.0	3.20011	998950155.2541772
 016	1420289750.0	3.7815300000000005	999217496.9351373
 016	1419973750.0	3.26579	998995181.2214968
 016	1419977750.0	3.2441299999999997	998997995.3444543
 016	1419981750.0	3.24999	999000809.4674118
 016	1419985750.0	3.24379	999003623.5903692
 016	1419989750.0	3.26668	999006437.7133267
 016	1419993750.0	3.27047	999009251.8362842
 016	1419997750.0	3.2826800000000005	999012065.9592416
 016	1420001750.0	3.2831	999014880.0821991
 016	1420005750.0	3.2898699999999996	999017694.2051566
 016	1420009750.0	3.28881	999020508.328114
 016	1420013750.0	3.3053	999023322.4510715
 016	1420017750.0	3.28073	999026136.574029
 016	1420133750.0	3.46631	999107746.1397958
 016	1420285750.0	3.7560800000000003	999214682.8121798
 016	1420117750.0	3.46156	999096489.6479659
 016	1420217750.0	3.71569	999166842.7219027
 016	1420293750.0	3.7744199999999997	999220311.0580947
 016	1420297750.0	3.78033	999223125.1810522
 016	1420301750.0	3.7954800000000004	999225939.3040097
 016	1420305750.0	3.8205400000000003	999228753.4269671
 016	1420309750.0	3.84554	999231567.5499246
 016	1420313750.0	3.87036	999234381.6728821
 016	1420317750.0	3.87871	999237195.7958395
 016	1420321750.0	3.8754199999999996	999240009.918797
 016	1420325750.0	3.86364	999242824.0417545
 016	1420329750.0	3.8725300000000002	999245638.164712
 016	1420333750.0	3.8479699999999997	999248452.2876694
 016	1420337750.0	3.78168	999251266.410627
 016	1420341750.0	3.72683	999254080.5335845
 016	1420345750.0	3.67295	999256894.656542
 016	1420349750.0	3.63257	999259708.7794994
 016	1420353750.0	3.5963300000000005	999262522.9024569
 016	1420357750.0	3.5549800000000005	999265337.0254143
 016	1420361750.0	3.51894	999268151.1483718
 016	1420365750.0	3.49597	999270965.2713293
 016	1420369750.0	3.50777	999273779.3942868
 016	1420373750.0	3.45873	999276593.5172442
 016	1420377750.0	3.46892	999279407.6402017
 016	1420381750.0	3.46161	999282221.7631592
 016	1420385750.0	3.4597599999999997	999285035.8861166
 016	1420389750.0	3.45051	999287850.0090741
 016	1420393750.0	3.4361099999999998	999290664.1320316
 016	1420101750.0	3.41826	999085233.1561359
 016	1420213750.0	3.69673	999164028.5989453
 016	1420097750.0	3.4166	999082419.0331784
 016	1420269750.0	3.72309	999203426.3203499
 016	1420093750.0	3.42096	999079604.910221
 016	1420221750.0	3.72269	999169656.8448602
 016	1420165750.0	3.5650199999999996	999130259.1234555
 016	1420169750.0	3.562	999133073.246413
 016	1420173750.0	3.58161	999135887.3693705
 016	1420177750.0	3.57252	999138701.4923279
 016	1420181750.0	3.59674	999141515.6152854
 016	1420185750.0	3.61047	999144329.7382429
 016	1420189750.0	3.62226	999147143.8612005
 016	1420193750.0	3.62459	999149957.9841579
 016	1420197750.0	3.64265	999152772.1071154
 016	1420201750.0	3.6602900000000003	999155586.2300729
 016	1420205750.0	3.66517	999158400.3530303
 016	1420085750.0	3.39698	999073976.664306
 016	1420089750.0	3.4237699999999998	999076790.7872635
 016	1419905750.0	3.18432	998947341.1312197
 016	1420281750.0	3.75181	999211868.6892223
 016	1420225750.0	3.72946	999172470.9678177
 016	1420229750.0	3.76985	999175285.0907751
 016	1420233750.0	3.7629099999999998	999178099.2137326
 016	1420237750.0	3.7715300000000003	999180913.3366901
 016	1420241750.0	3.78079	999183727.4596475
 016	1420245750.0	3.7735800000000004	999186541.582605
 016	1420249750.0	3.7920199999999995	999189355.7055625
