longitude	frequency power [Hz]	spectral density [dB/Hz]	frequency power [Mhz]	doppler
016	1421401750.0	3.87871	1421.40175	209.27527400889412
024	1421401750.0	2.97289	1421.40175	209.27527400889412
028	1421401750.0	3.17423	1421.40175	209.27527400889412
032	1421401750.0	3.09648	1421.40175	209.27527400889412
036	1421401750.0	2.92464	1421.40175	209.27527400889412
040	1421401750.0	2.84133	1421.40175	209.27527400889412
044	1421401750.0	2.88287	1421.40175	209.27527400889412
048	1421401750.0	2.9817299999999998	1421.40175	209.27527400889412
052	1421401750.0	3.1432900000000004	1421.40175	209.27527400889412
056	1421401750.0	3.24632	1421.40175	209.27527400889412
058	1421496000.0	1.45953	1421.496	229.16354683507143
060	1421401750.0	3.3337	1421.40175	209.27527400889412
064	1421401750.0	3.26261	1421.40175	209.27527400889412
068	1421401750.0	3.30765	1421.40175	209.27527400889412
072	1421401750.0	3.26441	1421.40175	209.27527400889412
076	1421401750.0	3.28574	1421.40175	209.27527400889412
080	1421401750.0	3.16316	1421.40175	209.27527400889412
084	1421401750.0	3.1166099999999997	1421.40175	209.27527400889412
088	1421401750.0	3.0230200000000003	1421.40175	209.27527400889412
092	1421401750.0	3.32115	1421.40175	209.27527400889412
096	1421401750.0	3.2998	1421.40175	209.27527400889412
100	1421401750.0	3.1152599999999997	1421.40175	209.27527400889412
104	1421401750.0	2.9926	1421.40175	209.27527400889412
108	1421401750.0	2.89414	1421.40175	209.27527400889412
112	1421401750.0	2.87652	1421.40175	209.27527400889412
116	1421401750.0	2.97365	1421.40175	209.27527400889412
120	1421401750.0	2.7951900000000003	1421.40175	209.27527400889412
124	1421401750.0	2.77284	1421.40175	209.27527400889412
128	1421401750.0	3.0380700000000003	1421.40175	209.27527400889412
132	1421401750.0	2.73442	1421.40175	209.27527400889412
136	1421401750.0	2.76247	1421.40175	209.27527400889412
140	1421401750.0	0.33516599999999996	1421.40175	209.27527400889412
144	1421401750.0	0.261681	1421.40175	209.27527400889412
148	1421401750.0	0.09733710000000001	1421.40175	209.27527400889412
152	1421401750.0	0.172929	1421.40175	209.27527400889412
156	1421401750.0	0.411948	1421.40175	209.27527400889412
160	1421401750.0	0.268424	1421.40175	209.27527400889412
164	1421401750.0	0.29036999999999996	1421.40175	209.27527400889412
168	1421401750.0	0.252685	1421.40175	209.27527400889412
172	1421401750.0	0.285029	1421.40175	209.27527400889412
176	1421401750.0	0.39361799999999997	1421.40175	209.27527400889412
180	1421401750.0	0.26966	1421.40175	209.27527400889412
184	1421401750.0	0.257862	1421.40175	209.27527400889412
188	1421401750.0	0.381235	1421.40175	209.27527400889412
192	1421401750.0	0.184971	1421.40175	209.27527400889412
196	1421401750.0	0.00178282	1421.40175	209.27527400889412
200	1421401750.0	-0.1525	1421.40175	209.27527400889412
204	1421401750.0	-0.368334	1421.40175	209.27527400889412
208	1421401750.0	-0.217638	1421.40175	209.27527400889412
212	1421401750.0	-0.365518	1421.40175	209.27527400889412
216	1421401750.0	-0.46728000000000003	1421.40175	209.27527400889412
220	1421401750.0	-0.41263599999999995	1421.40175	209.27527400889412
224	1421401750.0	-0.39319899999999997	1421.40175	209.27527400889412
228	1421401750.0	-0.410154	1421.40175	209.27527400889412
232	1421401750.0	-0.318752	1421.40175	209.27527400889412
236	1421401750.0	0.251952	1421.40175	209.27527400889412
240	1421401750.0	0.623644	1421.40175	209.27527400889412
244	1421401750.0	1.03555	1421.40175	209.27527400889412
